,PCT filing number,Patent number,PCT filing date ,Title of invention (English),Owners,Country/Research Organization/Company,Country of Owner,Inventors,Unnamed: 9,Invention aspect ,Type of mechanism or work involved,Plant used,Treatment,Commercial status,Grant date,PCT publication date, International Patent Classification 
1,2006300637,W007/043302,2006-09-22 00:00:00,Agent for improving insulin resistance,"Morinaga Milk Industry Co., Ltd.",Company,Japan,"Tanaka, Miyuki ; Misawa, Eriko",-,A pharmaceutical beverage or food that can inhibit the production of adipocytokines which has morbid functions of inducing insulin resistance,"The medicine consists of a plant extract which contains the compound 3-0-2R -D-glucopyranosyl-4
Omethylergost-7-en-3-ol as its active ingredient",Liliaceae family,Insulin resistance,Y,2010.07.01,2007.04.19,A61K31/704 
2,2006300629,W007/043294,2006-09-21 00:00:00,Agent for inhibiting Visceral fat accumulation,"Morinaga Milk Industry Co., Ltd.",Company,Japan,"Tanaka, Miyuki ; Misawa, Eriko",-,A pharmaceutical beverage/food which can reduce fat accumulated in the abdominal cavity and can prevent or ameliorate visceral obesity,The medicine consists of a plant extract which contains a compound with a lophenol skeleton as its active ingredient,Liliaceae family,Visceral obesity,Y,2009.12.10,2007.04.19,A61K31/575
3,2006300541,W007/043306,2006-09-22 00:00:00,Agent for improving insulin resistance,"Morinaga Milk Industry Co., Ltd.",Company,Japan,"Tanaka, Miyuki ; Misawa, Eriko",-,A pharmaceutical beverage or food that can inhibit the production of adipocytokines which has morbid functions of inducing insulin resistance,The medicine consists of a plant extract which contains a compound with a lophenol skeleton as its active ingredient,Liliaceae family,Insulin resistance,Y,2010.04.22,2007.04.19,A61K31/575 
4,2006293136,W007/034851,2006-09-21 00:00:00,Agent for inhibiting visceral fat accumulation,"Morinaga Milk Industry Co., Ltd.",Company,Japan,"Tanaka, Miyuki ; Misawa, Eriko",-,A pharmaceutical beverage/food which can reduce fat accumulated in the abdominal cavity and can prevent or ameliorate visceral obesity,"The medicine consists of a plant extract which contains the compound 3-0-2R -D-glucopyranosyl-4
Omethylergost-7-en-3-ol as its active ingredient",Liliaceae family,Visceral obesity,Y,2010.01.14,2007.03.29,A61K31/704
5,2006253198,W006/129964,2006-05-30 00:00:00,"Pharmaceutical composition comprising an extract of Pseudolysimachion longifolium and the catalpol derivatives isolated therefrom having antiinflammatory, antiallergic and antiasthmatic activity",Korea Research Institute of Bioscience and Biotechnology,Research Organisation,South Korea,"Park, Bo Young ; Kim, Doo Young ; Quan, Gui Hua ; Lee, Hyeong Kyu ; Joung, Hyouk ; Oh, Sei Ryang ; Ahn, Kyung Seop ; Kim, Mi Jin ; Kwon, Ok Kyoung ; Lee, Sang Ku ; Lee, Joong Ku",-,"A herbal extract that can be used in therapeutics or functional health food for treating and preventing inflammatory, allergic and asthmatic diseases","The catalpol derivatives isolated from the herbal extract show suppression on elevated IgE, IL-4 and IL- 13 levels, on eosinophilia in the plasma and BALF, and also on mucus overproduction in the lung tissues in an OVA-induced asthmatic mouse model",Pseudolysimachion sp.,"Anti-inflammatory, antiallergic and anti-asthmatic effects",Y,2010.05.06,2006.12.07,A61K31/352
6,2006213635,W006/086706,2006-02-10 00:00:00,A Capsicum variety exhibiting a hyper-accumulation of zeaxanthin and products derived therefrom,"Kalamazoo Holdings, Inc.",Company,USA,"Vandenhombergh, Anthony P. ; Locey, Carol L. ; Young, Carrie K. ; Todd, Paul H. ; Barren, James P. ; Kanel, Jeffrey S. ; Berdahl, Donald R.",-,"The zeaxanthin derived from such Capsicum plants can be used in applications that include nutritional supplements, foods, functional foods, cosmetics, animal feeds, aquaculture feeds, and pharmaceuticals","The plant variety has been developed by plant breeding techniques in which the Capsicum plants produce greater than about (0.4%) zeaxanthin by weight in the dried, ripe fruit pod flesh respectively",Capsicum sp.,-,Y,2010.06.17,2006.08.17,A01H5/00 
7,2005322462,W006/071404,2005-11-18 00:00:00,Oxidation resistant dentifrice compositions,Colgate-Palmolive Company,Company,USA,"Prencipe, Michael ; Arvanitidou, Evangelia S.",-,A low water tooth paste for promoting the oral health of a subject which consists of a variety of plant extracts,"The dentifrice composition contains humectants, abrasivee compounds, plant extracts and an additional antioxidant component respectively","Rosemary, green tea",Oral care,Y,2009.11.19,2006.07.06,A61K8/97
8,2005232408,W005/099729,2005-04-15 00:00:00,Use of plants and plant extracts as feed additive to affect the rumen fermentation,DSM IP Assets B.V.,Company,Netherlands,"Duffy, Cepta D. ; Hoffmann, Ellen ; Mould, Fergus Laurence ; Becker, Klaus ; Muetzel, Stefan ; Selje, Natascha ; Losa, Riccardo ; Wallace, Robert John ; Secundino, Lopez Puente",-,Feed additive for ruminants to influence rumen fermentation and to increase energy and nitrogen availability for ruminant animals,Variety of herbal plants composition,"Lonicera japonica, Gentiana asclepidea, Gentiana lutea, Eugenia caryophyllata, Bellis perennis, Olea europaea, Symphytum officinale, Carduus pycnocephalus, Paeoniae alba radix, Populus tremula, Prunus avium, Salix caprea, Rheum nobile, Uelianthemum canum, Arctostaphylos uva-ursi, Peltiphyllum peltatum, Epilobium montanum, Knautia arvensis, Latuca sativa and Urtica dioica",-,Y,2010.07.01,2005.10.27,A61K36/185
9,2005206875,W005/069835,2005-01-12 00:00:00,Bioactive compositions from Theacea plants and processes for their production and use,ISP Investments Inc.,Company,USA,"Koganov, Michael",-,"Isolated bioactive compositions from herbal extracts and their use in bioactive topical formulations for inhibiting inflammatory activity in skin tissue, protecting skin tissue from ultraviolet light-induced damage and normalizing skin disorders in the skin tissue of a mammal, respectively",By isolating bioactive fractions derived from cell juice or a cell wall component from a Theacea plant,Theacea sp.,Skin tissue protection,Y,2010.06.24,2005.08.04,A61K36/82
10,2004294709,W005/053710,2004-11-19 00:00:00,Food composition comprising glucosamine,Nestec S.A.,Company,Switzerland,"Touche, Andre ; Petiard, Vincent ; Michaux, Stephane ; Courtois, Didier",-,"A pet food composition or cosmetic composition containing glucosamine for the maintenance of joint health, prevention/ treatment of osteoarthritis and the improvement of the skin quality and prevention/ restoration of age-related alterations of skin",The glucosamine is generated from plant materials by means of a drying process,-,Osteoarthritis and ageing,Y,2010.06.03,2005.06.16,A23B4/03 
