,PCT filing number,Patent number,PCT filing date ,Title of invention (English),Owners,Individual/ResearchOrganization/Company,Country of Owner,Inventors,Country of Inventor,Invention aspect ,Type of mechanism or work involved,Plant used,Treatment,Commercial status,Grant date,PCT publication date, International Patent Classification 
1,PCT/US1998/017344,CA 2301860,1998-08-28 00:00:00,CHEMICAL AND PHARMACOLOGICAL STANDARDIZATION OF HERBAL EXTRACTS,AFEXA LIFE SCIENCES INC.,Company,Canada,"PANG, PETER K.T.; SHAN, JACQUELINE J.; CHIU, KAM WAI",Canada,Extraction methods standardization,Dosage dependent manner,-,Neurodegenarative diseases,Y,2009-05-25 00:00:00,1999-03-04 00:00:00,
2,PCT/CH2003/000504,CA 2493320,2003-07-24 00:00:00,CONFECTIONERY MADE FROM HERBAL MIXTURES,RICOLA AG,Company,Switzerland,"LUTZ, CHRISTINA; RICHTERICH, FELIX",Switzerland,For usage as moulds,-,Stevia rebaudiana,-,N,2012-05-22 00:00:00,2004-02-05 00:00:00,
3,PCT/JP2006/318686,CA 2611181,2006-09-21 00:00:00,AGENT FOR INHIBITING VISCERAL FAT ACCUMULATION,"MORINAGA MILK INDUSTRY CO., LTD",Company,Japan,"TANAKA, MIYUKI 
MISAWA, ERIKO",Japan,extraction methods standardization,-,liliacae plants,To prevent or ameliorate visceral fat type obesity,Y,2010-11-02 00:00:00, 2007-04-19,
4,PCT/US2004/020168,CA 2530433,"6/23/2004
",METHOD OF IMPROVING ANIMAL TISSUE QUALITY BY SUPPLEMENTING THE ANIMAL DIET WITH MIXED TOCOTRIENOLS,"PIONEER HI-BRED INTERNATIONAL, INC.",Company,United States of America,"WOLF, FRED R. 
SAUNDERS, COURT A.",United States of America,for improving the meat quality of an animal,feeding animals with suppliments with plant composition,-,-,Y,2010-08-10 00:00:00,2005-01-13 00:00:00,
5,-,CA 2624375,-,NUCLEIC ACID MOLECULES ENCODING ENZYMES FROM WHEAT WHICH ARE INVOLVED IN STARCH SYNTHESIS,BAYER CROPSCIENCE GMBH (Germany),Company,Germany,"LORZ, HORST 
LUTTICKE, STEPHANIE (Germany)
WALTER, LENNART (Germany)
FROHBERG, CLAUS",Germany,starch synthesis in plants, nucleic acid molecules encoding enzymes,Poaceae (wheat),_,Y,2010-07-27 00:00:00,_,
6,PCT/JP2000/005214,CA 2386126,2000-08-03 00:00:00,METHOD OF IMPROVING GENE TRANSFER EFFICIENCY INTO PLANT CELLS,JAPAN TOBACCO INC.,Company,Japan,"HIEI, YUKOH 
KASAOKA, KEISUKE 
ISHIDA, YUJI",Japan,"plant tissues are heated and centrifuged to 
thereby improve the gene transfer efficiency",gene transfer method,_,_,N,2010-07-13 00:00:00,2002-02-14 00:00:00,
7,-,CA 2477922,-,STABILIZING AGENT FOR ENZYMES,SEIKAGAKU CORPORATION,Company,Japan,"ISHIMARU, TAKESHI 
MIYAURA, SHUICHI ",Japan,"the stabilizing agent for an enzyme contains a plant-derived polypeptide as an active ingredient.

", novel stabilizing agent for enzymes;,_,_,N,2010-10-26 00:00:00,_,
8,PCT/BR2002/000104,CA 2453112,2002-07-26 00:00:00,NEW CATIONIC PEPTIDES OF THE DERMASEPTIN FAMILY ISOLATED FROM THE SKIN SECRETION OF PHYLLOMEDUSA HYPOCHONDRIALLS,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA - EMBRAPA (Brazil),Company,Brazil,"RIBEIRO DE PAIVA, GENARO (Brazil)
BLOCH JUNIOR, CARLOS (Brazil)
DE ALMEIDA LEITE, JOSE ROBERTO DE SOUZA (Brazil)
DA SILVA, LUCIANO PAULINO (Brazil)",Brazil,"This invention is related to anti-microbial peptides having the same amino 
acid sequence and at least the same anti-microbial activity as those of 
Phylloseptins which are isolated from the skin of Phyllomedusa 
hypochondrialis",mass spectrometry ,_,_,N,2010-09-07 00:00:00,2003-02-06 00:00:00,
9,PCT/EP2002/007881,CA 2453129,2002-07-11 00:00:00,METHOD AND SYSTEM FOR GROWING PLANTS,ROCKWOOL INTERNATIONAL A/S,Company,Denmark,"KUIPER, DAAN 
BLAAKMEER, ANTON",Netherlands, monitoring one or more growing plants comprising,oxygen sensor system,_,_,N,2010-01-19 00:00:00,"2002-07-11
",
10,-,CA 2310304,-, FLAX SEED SPECIFIC PROMOTERS,"COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION (Australia)
BOTANECO INC. (Canada)",Research Organisation,-,"CHAUDHARY, SARITA (Canada)
VAN ROOIJEN, GIJS
MOLONEY, MAURICE M. 
SINGH, SURINDER",Canada;Australia,expression of non-native genes in flax seeds and the seeds of other plant species, use of seed-specific promoters obtained from flax,_,_,N,2010-09-21 00:00:00,_,
11,PCT/US1999/008857,CA 2326373,1999-04-21 00:00:00,METHODS AND SUBSTANCES FOR PREVENTING AND TREATING AUTOIMMUNE DISEASE,LOMA LINDA UNIVERSITY,Research Organisation,United States of America,"LANGRIDGE, WILLIAM H. R. (United States of America)
ARAKAWA, TAKESHI (Japan)",Japan;United States of America,"plant-based edible vaccine against autoimmune disease prepared by expressing 
a CTB-autoantigen chimeric gene construc",DNA construction and expression,_, TREATING AUTOIMMUNE DISEASE,N,2010-06-29 00:00:00,1999-10-28 00:00:00,
12,PCT/EP2003/006718,CA 2488279,2003-06-26 00:00:00,ANTI-INFLAMMATORY COMPOSITIONS DERIVED FROM CHICORY,NESTEC S.A.,Company,Switzerland,"MALNOE, ARMAND
CAVIN, CHRISTOPHE 
OFFORD, CAVIN ELIZABETH (Switzerland)
GRIGOROV, MARTIN",Switzerland,"The compositions contain a therapeutically effective amount of a 
thermally processed (e.g., extruded) plant material  capable of reducing a risk of inflammation in a mammal(s) are 
provided. ",extraction from plant,Cichorium intybus,ANTI-INFLAMMATORY,N,2010-11-09 00:00:00,2003-06-26 00:00:00,
13,PCT/NL1998/000336,CA 2295189,1998-06-08 00:00:00,TYPE-1 RIBOSOME-INACTIVATING PROTEIN,PROTODEN TECHNOLOGIES INC,Company,Canada,"STIRPE, FIORENZO (Italy)
BOLOGNESI, ANDREA (Italy",Italy,"ribosome-binding protein derived from 
Bougainvillea spectabilis having a molecular weight ",polyacrylamide gel electrophoresis,Bougainvillea spectabilis,ontrol of tumour cells or viruses.,Y,2010-11-23 00:00:00,1998-12-10 00:00:00,
14,PCT/ZA2001/000099,CA 2416650,2001-07-19 00:00:00,ENHANCEMENT OF THE ACTION OF CENTRAL AND PERIPHERAL NERVOUS SYSTEM AGENTS,NORTH WEST UNIVERSITY,Research Organisation,South Africa,"MEYER, PETRUS JOHANNES",South Africa,"The invention provided a method of enhancing the action of a 
pharmaceutical agent selected from the group consisting of psycho 
analeptics (antidepressants) ",_,_,_,Y,2010-09-21 00:00:00,2002-01-24 00:00:00,
15,PCT/US1999/014132, CA 2336781,1999-07-09 00:00:00,"HYPERICIN AND HYPERICUM EXTRACT: SPECIFIC T-TYPE CALCIUM CHANNEL BLOCKER, AND THEIR USE AS T-TYPE CALCIUM CHANNEL TARGETED THERAPEUTICS",AFEXA LIFE SCIENCES INC.,Company,Canada,"SHAN, JACQUELINE J. (Canada)
WU, XI-CHEN (Canada)
PANG, PETER K. T. (Canada)
LING, LEI (Canada",Canada,"Hypericin has been shown to specifically inhibit T-type calcium channel 
activity. Hypericum extract containing hypericin also inhibits 
T-type calcium channel activity",extraction from plant,-," treatment of diseases associated with 
T-channel abnormality",Y,2010-12-14 00:00:00,2000-01-20 00:00:00,
16,_, CA 2352504,_,PLASTIDIC PHOSPHOGLUCOMUTASE GENES,E. I. DU PONT DE NEMOURS AND COMPANY,Company,United States of America,"ALLEN, STEPHEN M. (United States of America)
BUTLER, KARLENE H. (United States of America)
CARLSON, THOMAS J. (United States of America)
HITZ, WILLIAM D. (United States of America)
STOOP, JOHAN M",United States of America,"This invention relates to an isolated nucleic acid fragment encoding a 
plastidic 
phosphoglucomutase protein","chimeric 
gene encoding",_,_,N,2010-11-02 00:00:00,_,
17,PCT/FR2000/002216,CA 2380847,2000-08-02 00:00:00,MUTANT GENE OF THE GRAS FAMILY AND PLANTS WITH REDUCED DEVELOPMENT CONTAINING SAID MUTANT GENE,INSTITUT NATIONAL DE LA RECHERCHE AGRONOMIQUE (INRA,Research Organisation,France,"RENARD, MICHEL (France)
DELOURME, REGINE (France)
BARRET, PIERRE (France)
BRUNEL, DOMINIQUE (France)
FROGER, NICOLE (France)
TANGUY, XAVIER (France)",France,"The invention concerns a mutant gene coding for a plant protein of the GRAS family modified at the following sequence (I): Gly Tyr X¿1? Val Glu Glu wherein X¿1? represents arginine or asparagine, and plants with reduced development expressing said mutant gene.",gene coding method,-,-,N,2010-04-06 00:00:00,2001-02-08 00:00:00,
18,PCT/US1998/013208, CA 2296007,1998-06-25 00:00:00,SEED PLANTS CHARACTERIZED BY DELAYED SEED DISPERSAL,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,Research Organisation,United States of America,"YANOFSKY, MARTIN F. (United States of America)
FERRANDIZ, CRISTINA",United States of America,"The present invention provides a non-naturally occurring seed plant that is 
characterized by delayed seed dispersal due to ectopic expression of a nucleic 
acid molecule encoding an AGL8-like gene produc",gene transfer method,_,_,N,2010-08-24 00:00:00,1998-06-25 00:00:00,
19,_,CA 2552313,_, HIGH PROTEIN AERATED FOOD COMPOSITION,"NELLSON NUTRACEUTICAL, LLC",Company,United States of America,"PANDEY, PRAMOD KUMAR (United States of America)
GUERRERO, JULIA MARIA (Canada)
CIASTON, MARGARET",United States of America,"The present invention relates to an aerated food composition and a process of making such composition. Particularly, the invention relates to an aerated food composition having a high protein content as well as pleasant organoleptic properties.",_,_,_,N,2010-03-09 00:00:00,_,
20,PCT/US2004/019066,CA 2527104,2004-06-14 00:00:00,"BLEND COMPRISING GELLAN, XANTHAN AND PECTIN, BEVERAGES COMPRISING SAID BLEND AND THEIR PREPARATION","PEPSICO, INC. ",Company,United States of America,"BERNARDINI, DEBORAH (United States of America)
CHAIT, SHARON (United States of America)
GRAHAM, CHRISTOPHER (United States of America)
HANSEN, LAURA (United States of America)
ZANG RICHARD (United States of America",United States of America,"A tri-gum blend of (a) xanthan gum, (b) gellan gum and (c) pectin gum is used 
to provide mouthfeel and stability to beverages, preferably smoothie 
beverage",_,_,_,N,2010-06-01 00:00:00,2004-12-23 00:00:00,
21,PCT/DE2000/003374,CA 2381995,2000-09-27 00:00:00,METHOD FOR THE PRODUCTION OF PROTEINACEOUS SUBSTANCES,GREENOVATION BIOTECH GMBH ,Company,Germany,"RESKI, RALF (Germany)
GORR, GILBERT (Germany",Germany,"The invention relates to a new method for production of heterologous 
proteinaceous substances in plant material",extraction from plant,moss plant,_,N,2010-01-05 00:00:00,2001-04-12 00:00:00,
