,PCT filing number,Patent number,PCT filing date ,Title of invention (English),Owners,Individual/ResearchOrganization/Company,Country of Owner,Inventors,Country of Inventor,Invention aspect ,Type of mechanism or work involved,Plant used,Treatment,Commercial status,Grant date,PCT publication date, International Patent Classification 
0,PCT/EP2007/010625,WO 2008/089815,06.12.2007,MULTI-COMPONENT HERBAL COMPOSITION FOR THE TREATMENT OF MALE ERECTILE DYSFUNCTION,The Jordanian Pharmaceutical Manufacturing Co.,Company,Jordan,"BADWAN, Adnan",Jordan,"The composition can be made for oral administration in solid or liquid form, for parenteral injection or for rectal administration, with a promoting effect on penile erectility for the improvement of erectile dysfunction","Is a combination of five different herbal extracts, wherein each herbal component of the composition has an additive synergistic effect on the
treatment","Panax quinquelotius, Eurycoma longifolia, Epimedium grandifolium, Centella asiatica",Restoring male erectile function,Y,04.08.2010,31.07.2008,"A61K 36/258, A61K 36/185, A61K 36/296, A61K 36/25, A61P 15/10,"
1,PCT/IB2005/003859,WO 2006/072823,22.12.2005,BRACHYSTEMMA CALYCINUM EXTRACT FOR OSTEOARTHRITIS,"Vita Green Health Products Co., Ltd.",Company,China,"Chan, Hei Ling Helen",China," The herbal extract has a therapeutic or prophylactic effect on
 pain and discomfort caused due to osteoarthritis","By acidifying the herb in a suitable acid, decocting the herb in a suitable liquid, filtering the decoction and concentrating the decoction to obtain the herbal extract",Brachystemma calycinum,Pain and discomfort in relation to osteoarthritis,Y,14.04.2010,13.07.2006,"A61K 36/36, A23L 1/29, A61P 19/02"
2,4019119.9,EP1629847,12.08.2004,Herbal AIDS treatment,"Shengxun, Tian; Kabulonga, Lusaka",Individual,Zambia,"Shengxun, Tian; Kabulonga, Lusaka",Zambia,"Can alleviate the symptoms of AIDS and reduce the viral load in patients to a considerable extent, causing significant improvement in affected patients",By using a cocktail of extracts and powdered plant materials in specific weight proportions,"Isatis root, Glycyrrhizae radix, Trichosanthis Kirilowii fruit, Rhizoma pinelliae, Zingiberis Siccatum rhizome, Astragali radix, Salvia miltiorrhizae radix, Glycyrrhizae, Trichosanthis Kirilowii radix, Panax quinquefolia, Angelica sinensis and Cordyceps sinensis",AIDS,N,13.01.2010,01.03.2006,A61K 36/00
3,PCT/US2003/026765,WO 2004/017984,21.08.2003,Compositions based on plant extracts for the treatment of cancer,"Sterogene Bioseparations, Inc.",Company,USA,"GRANDICS, Peter",USA,"The invention can be used for the treatment of various cancers, particularly in the treatment of malignancies of the lymphoid system",Comprises a mixture of natural plant derived substances and minerals,"red pepper, corn, pineapple, almond",Cancer,Y,21.07.2010,04.03.2004,"A61K 31/00, A61K 35/00, A61K 36/00"
4,PCT/EP2005/000076,WO 2005/067953,07.01.2005,USES FOR THE EXTRACT OF GYMNEMA SYLVESTRIS,"Cognis France, S.A.S.",Company,France,"FREIS, Olga;  DANOUX, Louis; MOSER, Philippe; PAULY, Gilles",France,"The invention is useful for the treatment mammalian or preferably human skin that suffers from hair growth disorders, and is also useful for cosmetic treatment comprising the inhibition, suppression or retardation of hair growth",The plant extract is used in combination with sugar esters,Gymnema sylvestre,"Hirsutism, folliculitis, pseudofolliculitis barbea and other hair growth disorders",Y,21.04.2010,28.07.2005,"A61K 36/27, A61P 43/00, A61K 8/97, A61Q 7/02"
5,3025973.3, EP1419781,13.11.2003,Odontostomatological use of plant compounds based on rhubarb roots (species belonging to the Rheum genus) and spinach leaves (Spinacia oleracea L.),ABOCA S.p.A.,Company,Italy,"Mongiorgi, Romano",Italy,The invention can be implied for the preparation of odontostomatological medicaments by using non-toxic water-soluble plant extracts,"By grinding, extraction, concentration, infusion, freeze-drying, centrifugation and filtration of herbal components","Rheum sp., Spinacia oleracea L.",Dentinal hypersensitivity,Y,23.06.2010,19.05.2004,"A61K 36/21, A61K 36/708, A61P 1/02"
6,3255206.9,EP1508334,22.08.2003,"Water soluble extract from plant of solanum genus and the preparation process thereof, and pharmaceutical composition containing the water soluble extract","G & E Herbal Biotechnology Co., Ltd.;  KUO, Kou-Wha
","Company, Individual",Taiwan,"Kuo, Kou-Wha",Taiwan,"Solamargine obtained from various plant materials is capable of inhibiting growth of parasites, insects, molds and molluscs,  while steroidal alkaloids from a plant of Solanum genus are found to be a potential anti-cancer drug, respectively",By various methods of distraction and processing,Solanum sp.,-,Y,17.03.2010,23.02.2005,"A61K 36/81, A61P 35/00"
7,PCT/US2001/050502,WO 2003/059371,28.12.2001,ANTI-BACTERIAL EXTRACTS FROM MAMMEA AMERICANA,Inter American University of Puerto,Research Organisation,USA,"FRAME, Anne",USA,"The compositions are intended for parenteral, topical, oral or local administration and generally comprise a pharmaceutically acceptable carrier and an amount of the active ingredient sufficient to inhibit growth of the pathogenic microbe",By the identification and isolation of purified plant fractions and compounds,Mammea americana,Anti-microbial and anti-mycobacterial activity,Y,19.05.2010,24.07.2003,"A61K 36/38, A61K 31/575, A61P 31/04, A61P 31/06"
8,"PCT/KR2008/002584
",WO2008/150068 ,11.12.2018,Medicinal herbal extract having Anti-obesty effect  ,"Newgex Inc.
Seoul ",Company,South korea,"Seo, Jong-Bae Seoul, Choi, Sun-Mi Seongnam-si Gyeonggi-do , Choi, Eun-Jung Incheon, Park, Sang-Wook Seoul , Choi, Eun-Wook Seoul , Seen, Dong-Seung Suwon-si,Gyeonggi-do ",South korea,High economical efficiency and reduced side effects,"The composition including the extract according to the present invention may be prepared as any formulations, that is,oral forms (such as powder, granule, tablet, capsule, suspension, emulsion, syrup, aerosol, etc.), an external application form, a suppository, or a sterile injection solution according to a conventionally known method",Lysimachiae foenum-graeci herba;,Obesity,Y,19.10.2011,31.08.2011,A61K 36/185
9,PCT/IB2007/050031,WO2007/080525 ,19.07.2007,Herbal composition,"Piramal Life Sciences Limited
",Company,India,"Chauhan, Vijay, Shanmuganathan, Muthusamy Veluchamy
",India,"To overcome the problems of side effects of present line of treatment,Provided  method of manufacture of the pharmaceutical composition."," The pharmaceutical composition for topical administration may be formulated into a wide variety of product types that include but are not limited to lotions, creams, gels, sticks, sprays, or ointments and is applied 2-3 times a day on the affected part of the body",Polyalthia longifolia,Inflammatory disorders mediated by tumor necrosis factor,Y,31.08.2011,19.10.2011,A61K 36/185
10,PCT/FI2002/001053,WO2003/055324,20.12.2002,Protien hydrolysate and plant sterol containing composition for improving serum lipid profile and preventing Atherosclerosis ,"Raisio Nutrition Ltd.

",Company,Finland,"Wester, Ingmar,Kuusisto, Päivi
",Finland,"No side effects , good  synergistic effects, other digestive discomforts could thus be reduced.","Dietary intake of 2 to 3 g/day of plant sterol  orally administering the composition,The product can be in any suitable form, e.g. tablets, granules,powder, capsules, syrups, dispersions or other liquid preparations ","Soybean , wheat , especially wheat , corn , oat , rapeseed or canola , barley, rice , flaxseed , potato , pea , lupin ,maize  and buckwheat . ",Atherosclerosis ,Y,16.11.2011,10.07.2003,"A61P 3/04,A61P 3/06"
