,PCT filing number,Patent number,PCT filing date ,Title of invention (English),Owners,Individual/ResearchOrganization/Company,Country of Owner,Inventors,Country of Inventor,Invention aspect ,Type of mechanism or work involved,Plant used,Treatment,Commercial status,Grant date,PCT publication date, International Patent Classification 
0,PCT/EP2013/071758,WO2014/060533,17-10-2013,Herbal Formulation ," Montero Gida Sanayi Ve Ticaret A.S.
",Company,Turkey," CIFTER, Ümit, arabacioglu , Nazife, toker, Özlem

",Turkey," Elimination of the symptoms thereof in mammalians, particularly in humans","Formulation is to be administered by oral,parenteral, ocular, nasal, buccal, sublingual and topical route","Propolis extract, Ginseng  extract,Zingiber officinale extract, and Glycyrrhiza glabra extract",Respiratory tract diseases,Y,06.12.2017,24.04.2014,"A61K 36/258,  A61K 36/484 ,A61K 36/9068,  A61K 36/61 ,A61K 47/12,  A61K 47/26 ,A61K 47/46"
1,14168228.6,EP000002896396A1,14-05-2014,Herbal formulation for topical wound treatment,"Abem Kimya Tibbi Malzemeler Yönetim Danismanligi,Temizlik Servis Hizmetleri Sanayi Ve Dis Ticaret Limited Sirketi
",Company,Turkey,"Melikoglu, Ahmet, NUREL, Hülya, Keskin, Fikriye
",Turkey,Anti-inflammatory effects to improve the wound care,Formulations can be either a solution or a gel,Comfrey Symphytum officinale L. extract and/or Commiphora molmol tincture,Wounds,Y,-,22.07.2015,"A61K 31/155 , A61K 31/205 ,A61K 47/34 , A61K 36/30 ,A61K 36/328 , A61P 17/02 "
2,14003947,EP000002896395B1,24-11-2014,Formulation for topical wound treatment,"Kilic, Ahmet
",Individual,Germany,"Kilic, Ahmet,Cicek, Hasan
",Germany, Wound dressing formulation ,Gel and solution formulations ," White Willow ,Meadowsweet plant,  Cinchona , Periwinkle,Opium Poppy",Wounds,Y,26.10.2016,22.07.2015,"A61K 31/155, A61K 31/205 ,A61K 47/34 ,A61K 36/30 ,A61K 36/328,  A61P 17/02 "
3,14003947,EP000002896395A1,24-11-2014,Formulation for topical wound treatment," Kilic, Ahmet
",Individual,Germany," Kilic, Ahmet,Cicek, Hasan
",Germany, Wound dressing formulation ," Gel(washing or shower gel, as a moisturizing gel or as a moist wound covering) and solution formulations"," White Willow ,Meadowsweet plant,  Cinchona , Periwinkle,Opium Poppy",Skin and oromucosal wounds,Y,-,22.07.2015,"A61K 31/155 , A61K 31/205 ,A61K 47/34 , A61K 36/30 ,A61K 36/328 , A61P 17/02"
4,PCT/GB2013/000279,WO2014/001742,25-06-2013, Advanced glycation end product analogues ,"Phytoquest Limited
",Company,United Kingdom,"Nash , Robert James,Ystrad-Meurig
",United Kingdom,Composition of the raw materials used ,The desired dose is preferably presented as a single dose for daily administration.,"Hypericum performatum (St John’s wort), Andrographis paniculata, M. chamomilla (Chamomile),Conopodium majus (Pignut), Solanum tuberosum (potato), Stevia rebaudiana, Lycium chinense/Lycium barbarum,(Goji), Angelica archangelica and Cissus quadrangularis","AGE-mediated diseases such as diabetes, diabetic cataracts, atherosclerosis, diabetic nephropathy and neurodegenerative disease",Y,16.08.2017 ,03.01.2014,"C12P 13/04 , C12P 13/10 ,A61K 36/81 , A61K 36/87 ,A61K 36/19 , A61K 36/23 ,A61K 36/28 , A61K 36/38 ,A61K 36/66 , C07H 7/02 ,G01N 30/06 , G01N 30/72 ,G01N 33/68 , H01J 49/00 ,
A61P 3/10, A61P 9/10,A61P 17/06 , A61P 25/26 ,A61P 25/24, A61P 25/28 "
5,PCT/EP2013/062569,WO2013/189906,18-06-2013,Composition for use in the treatment of lymphedema ," Biologische Heilmittel Heel GmbH

",Company,Germany,"Burmeister , Yvonne, SEILHEIMER, Bernd
",Germany,Provides a therapeutic effect to treat the disease ," The pharmaceutical carrier employed may include a solid, a gel, or a liquid","Aranea diadematus, Calcium phosphoricum, Equisetum hiemale, Ferrum jodatum, Fumaria officinalis, Gentiana lutea, Geranium robertianum, Levothyroxinum, Myosotis arvensis, Nasturtium officinale, Natrium sulfuricum, Pinus silvestris, Sarsaparillae radix, Scrophularia nodosa, Teucrium scorodonia, and Veronica officinalis",Lymphedema,Y,01.11.2017,27.12.2013,"A61K 36/185 , A61K 36/50 ,A61K 36/80 , A61K 36/515 ,A61K 36/11 , A61K 36/31 ,A61K 36/15 , A61K 36/56 ,A61K 36/30 , A61K 36/52 ,A61K 36/90 , A61K 36/808 ,A61P 7/10 "
6,PCT/EP2013/062573,WO2013/189908,18-06-2013,Composition for use in treating wounds ,"Biologische Heilmittel Heel GmbH





",Company,Germany,"Burmeister , Yvonne, SEILHEIMER, Bernd
",Germany,Healing wounds and have therapeutic effect ,"Form of tablets, solution or drinking ampules, is envisaged or topical application in gel form or application via injection","Aranea diadematus, Calcium phosphoricum, Equisetum hiemale, Ferrum jodatum, Fumaria officinalis, Gentiana lutea, Geranium robertianum, Levothyroxinum, Myosotis arvensis, Nasturtium officinale, Natrium sulfuricum, Pinus silvestris, Sarsaparillae radix, Scrophularia nodosa, Teucrium scorodonia, and Veronica officinalis",Wounds ,Y,15.11.2017,27.12.2013,"A61K 36/185 , A61K 36/50,A61K 36/515 , A61K 36/11 ,A61K 36/30  A61K 36/15 ,A61K 36/90 , A61K 36/56 ,A61K 36/52 , A61P 17/02 ,A61K 36/02 "
7,PCT/US2012/070562,WO2013/096420,19-12-2012, Beverage comprising steviol  glycosides ," The Coca-Cola Company, PureCircle SDN BHD

",Company,"United States ,Malaysia"," Prakash, Indra,Alpharetta, Markosyan, Avetik, Chaturvedulla, Venkata Sai Prakash,alpharetta,  Campbell, Mary cworth,  San Miguel, Rafael ,  Purkayastha, Siddhartha
Lombard, Johnson, Marquita

","United States ,Malaysia","Low caloric sweetener, provide a pleasant taste",Beverages,Stevia rebaudiana Bertoni,-,Y,15.11.2017,27.06.2013,"A23L 27/30 , A23L 2/60 "
8,PCT/KR2012/010318,WO2013/081419,30-11-2012,Pharmaceutical composition for prevention or treatment of cognitive function disorders comprising spinosyn ," Ministry of Food and Drug Safety Dae Hwa Pharma. Co., Ltd

",Company,Korea," Ryu , Jong Hoon, LEE, Hyung Eun, KANG, Sam Sik, KIM, Ju Sun, LEE, So Young, KIM, Do Hoon, KIM, Dong Sup, KIM, Seung Hee
",Korea,"No side effects , good treatment effect ","Tablets, pills, powders, granules and capsules for oral administration"," Spinosyns Zizyphus jujuba Mill var. inermis, Zizyphus jujuba Mill var. hoonensis, Zizyphus jujuba Mill var. spinosa, Passiflora edulis flavicarpa, Cayaponia tayuya , Desmodium tortuosum, Wilbrandia ebracteata, S trophioblachia fimbricalyx, Clutia abyssinica and Saccharopolyspora",Cognitive function disorders such as dementia and amnesia.,Y,22.11.2017,06.06.2013,"A61K 31/7048 , A61K 31/70 ,A61P 25/28, A61K 36/725 ,A61K 36/48  A61K 36/47 ,A61K 36/42 , A61K 36/185 ,A23L 2/52 , A23L 33/10 ,A23L 33/135"
9,PCT/KR2012/010318,WO2013/081419,30-11-2012,Pharmaceutical composition for prevention or treatment of cognitive function disorders comprising spinosyn ," Korea Food & Drug Administration, University-Industry Cooperation Group of Kyung Hee University, SNU R&DB Foundation

",Research Organisation,Korea," Ryu , Jong Hoon, LEE, Hyung Eun, KANG, Sam Sik, KIM, Ju Sun, LEE, So Young, KIM, Do Hoon, KIM, Dong Sup, KIM, Seung Hee
",Korea,"Therapy to prevent and treat the disease, no side effects ","Tablets, pills, powders, granules and capsules for oral administration","Spinosyns Zizyphus jujuba Mill var. inermis, Zizyphus jujuba Mill var. hoonensis, Zizyphus jujuba Mill var. spinosa, Passiflora edulis flavicarpa, Cayaponia tayuya , Desmodium tortuosum, Wilbrandia ebracteata, S trophioblachia fimbricalyx, Clutia abyssinica and Saccharopolyspor",Cognitive function disorders such as dementia and amnesia.,Y,-,06.06.2013,"A61K 31/7048 , A61K 31/70 ,A61P 25/28 "
10,PCT/KR2012/004233,WO2012/165843,30-05-2012,Composition comprising herbal extracts or fermented products thereof having latic acid bacteria for preventing or treating Respiratory  diseases ,Korea Institute of Oriental Medicine,Research Organisation,Korea,"Ma,jin yeul,kim,dong seon,yang,min cheol,yoon,jong hyun,",Korea,Composition of the raw materials used ,"Solid formulations for oral administration include tablets, pills, powders, granules, capsules","Sophora flavascens, Radix glycyrrhizae, Flos Lonicerae, Angelicae Gigantis radix, Aralia continentalis, Inula helenium, Saposhnikoviae radix, Zizyphus spinosa, Houttuynia cordata, Forsythiae fructus, Arctium lappa, Herba epimedii, ginseng, Lithospermi radix, Sanguisorbae radix, Cnidii rhizoma, Scorphulariae radix, and Polygoni cuspidati radix.",Respiratory diseases,Y,-,09.04.2014,"A61K 36/489 , A61K 36/484 ,A61K 36/355 , A61P 11/00 "
