,PCT filing number,Patent number,PCT filing date ,Title of invention (English),Owners,Company/ResaerchOrganization/Individual,Country of Owner,Inventors,Country of Inventor,Invention aspect ,Type of mechanism or work involved,Plant used,Treatment,Commercial status,Grant date,PCT publication date, International Patent Classification 
1,6531/DELNP/2009,"280262

",10-12-2009,METHOD OF EXTRACTION OF OIL FROM TOBACCO SEEDS,AEP – Advanced Ecopower Patents SA,Company,Switzerland,FOGHER Corrado, Italy ,Development of tobacco plants,"Mutagenesis techniques, interspecific hybridisation followed by poliploidisation and recombinant DNA technologies",Tobacco plant,-,Y, 15/02/2017,41004,
2, 9948/DELNP/2007,"278662

",20-12-2007,SAFFLOWER WITH ELEVATED GAMMA-LINOLENIC ACID,"ARCADIA BIOSCIENCES, INC.",Company, U.S.A.,"KNAUF, VIC, C., SHEWMAKER, CHRISTINE, FLIDER, FRANK,J, EMLAY, DONALD, REY, ERIC ",U.S.A,Production,Extraction,Safflower ," Nervous system disorders, inflammatory conditions, cancer and cardiovascular disorders",Y,28/12/2016, 18/01/2008,
4, 787/MUMNP/2010,"260860

",19-04-2010,GENE FOR IMPROVING SALT TOLERANCE AND DROUGHT TOLERANCE OF PLANT,"BIOTECHNOLOGY RESEARCH INSTITUTE, THE CHINESE ACADEMY OF AGRICULTURAL SCIENCES",Research organization,China,"LIN MIN, CHEN MING, WANG JIN, PAN JIE, ZHOU ZHENGFU, ZHANG WEIS, LU WEI, PING SHUZHEN",China,Artificially synthesized plant-biased codons. ,Recombinant vectors technology,_,-,Y, 26/05/2014,27/08/2010,
5,2539/KOLNP/2011, 273415,20-06-2011, FUEL PRODUCTION METHOD,CYUBU ENZYME LTD,Company,Japan,KATO ATSUSHI ,Japan,Production,Extraction,-,-,Y,,40586,
6, 4618/CHENP/2010,286179,22-07-2010,A COMPOSITION FOR TREATING BANANA TREE CERCOSPORIOSIS,"TOTAL RAFFINAGE MARKETING, REALCO S.A.",Company,"France, belgium","BUREAU ERIC, BLACKMAN GORDON, BOELS GAUTHIER","France, belgium",Production,Mixing and extraction,-,Cryptogamic plant diseases,Y,42986,40635,
7,5682/CHENP/2009,286146,24-09-2009,A method of increasing transformation efficiency in maize,JAPAN TOBACCO INC,Company,Japan,"ISHIDA YUJI, HIEI YUKOH",Japan, Transformation efficiency,"Coculture, selection, regeneration",Maize,-,Y, 08/08/2017,40129,
8,611/DEL/2009,285895,27-03-2009,PLANT EXTRACT FOR TREATING ANXIETY DISORDERS,COUNCIL OF SCIENTIFIC INDUSTRIAL RESEARCH,Research institute,India,"MEENA RAJNIKANT RATHOD, BHUPENDRA DHANVANTRAI SHETHIA, PRAKASH JAGJIV ANBHA DODIYA, GAUTAM PALIT, MANAVI CHATTERJEE, SHIBANI SEN GUPTA, ASHOK KUMAR AGARWAL, VINAY KUMAR KHANNA",India,Production,Extraction,Cassia tora, Anxiety,Y, 31/07/2017 ,14/01/2011,
10,1959/DELNP/2011,285672,16-03-2011,SUGAR PRODUCTION METHOD,"INCORPORATED ADMINISTRATIVE AGENCY NATIONAL AGRICULTURE AND FOOD RESEARCH ORGANIZATION, ASAHI GROUP HOLDING, LTD.",Company,Japan,"SATOSHI OHARA, AKIRA SUGIMOTO, YOSHIFUMI TERAJIMA",Japan,Production and extraction,Fermentation,Sugarcane,-,Y,, 16/12/2011,
11,219/DEL/2011,285291,31-01-2011,A PROCESS FOR THE EXTRACTION OF PHYTOCONSTITUENTS FROM PLANTS,"SOLANKI RENU, NAGORI BADRI PRASAD",Individual,India,"SOLANKI RENU, NAGORI BADRI PRASAD",India,-,Extraction,Cynodon dactylon,,N,, 28/06/2013,
12,212/DELNP/2010,285222,01-12-2010,INFLUENZA VIRUS-LIKE PARTICLES (VLPS) COMPRISING HEMAGGLUTININ PRODUCED WITHIN A PLANT,MEDICAGO INC.,Company,Canada,"D'AOUST MARC-ANDRE
ORS FREDERIC 
DARGIS MICHELE 
LANDRY NATHALIE 
COUTURE MANON
TREPANIER SONIA
LAVOIE PIERRE-OLIVIER 
VEZINA LOUIS-PHILIPPE",canada,Synthesizing,"Expression, purification",-,Vaccines against influenza virus-like particle,Y, 14/07/2017,"30/07/2010
",
13,2080/CHE/2011,284965,20-06-2011,PROCESS FOR PREPARATION OF A PLANT BASED ANTIVIRAL COMPOSITION FOR THE TREATMENT OF HIV AND HIV RELATED ACQUIRED IMMUNO DEFICIENCY SYNDROME,DR. MANOHAR. P. SHINHASAN,Individual,India,DR. MANOHAR. P. SHINHASAN,India,Preparation of antiviral,"Boiling,Distillation, crystalization, Purification",Basil ,HIV cure,N,,19/08/2011,
14,258/MUM/2007,284870,02-12-2007,HERBAL COMPOSITIONS FOR PREVENTION AND TREATMENT OF MAREK'S DISEASE AND IMMUNITY ENHANCEMENT IN POULTRY,PATEL JAMUNABEN BHANABHAI,Individual,India,PATEL JAMUNABEN BHANABHAI,India,Production,Extraction,Cuscuta reflexa,Marek’s disease in birds,N,43046,27/03/2009,
15,5414/CHENP/2009,284796,14-09-2009,METHOD OF MERISTEM EXCISION AND TRANSFORMATION,MONSANTO TECHNOLOGY LLC,Company,U.S.A,"DERSCH ERIK D
MARTINELL BRIAN J,
WAN YUECHUN,
RIVLIN ANATOLY,
YE XUDONG,
HEINZEN RICHARD. J",U.S.A,Excision ,"Tissue preparation, storage, transformation, and selection or identification",Cotton seed,-,Y, 30/06/2017,18/12/2009,
19,2027/MUMNP/2010,284350,24-09-2010,A METHOD TO INCREASE THE RESISTANCE TO PLANT DISEASES USING NUCLEIC AND AMINO ACID SEQUENCES,CENTRO DE INGENIERIA GENÉTICA Y BIOTECNOLOGÍA,Company ,Cuba,"BORRÁS HIDALGO  Orlando, PORTIELES ÁLVAREZ&nbsp; Roxana Caridad, PUJOL FERRER&nbsp; Merardo, ENRÍQUEZ OBREGÓN&nbsp; Gil Alberto, GONZÁLEZ RAMOS&nbsp; Ernesto Manuel, AYRA PARDO&nbsp; Camilo, BORROTO NORDELO&nbsp; Carlos Guillermo",Cuba,Increase resistace of plants ,Genetic engineering,Nicotiana megalosiphon,-,Y,19/06/2017, 14/01/2011,
20,889/MUMNP/2010,284222,29-04-2010,HERBAL COMPOSITIONS AND METHODS FOR TREATING HEPATIC DISORDERS,"SABELL CORPORATION, JOSE GONZALO CABANILLAS CORAL","Company , Individual ","Canada, Peru",CORAL  Jose Gonzalo Cabanillas,Peru, Herbal composition,Extraction,"Cordia lutea, Annona muricata and Curcuma longa",Hepatitis,Y,14/06/2017 ,40246,
