,PCT filing number,Patent number,PCT filing date ,Title of invention (English),Owners,Individual/ResearchOrganization/Company,Country of Owner,Inventors,Country of Inventor,Invention aspect ,Type of mechanism or work involved,Plant used,Treatment,Commercial status,Grant date,PCT publication date, International Patent Classification 
0,2009-086363,2010-235529,31-03-2009,MET INHIBITOR COMPRISING EPHEDRA HERB,"KITASATO INSTITUTE,
JAPAN HEALTH SCIENCE FOUNDATION",Research Organisation,Japan,"HANAWA TOSHIHIKO, HYUGA SUMIKO, HYUGA SHOJI",Japan,A MET inhibitor which comprises Ephedra herb (mao) or a Chinese crude drug containing E.herb as a component galenical,"The extract inhibits the tyrosine phosphorylation of MET and strongly suppresses the HGF-MET signaling, subsequently suppressing the proliferation, infiltration, and metastasis of MET-expressing cancer cells",Ephedra herb,Cancer,Y,7.8.2015,21.10.2010,A61K  36/00; A61P  43/00; A61P  35/00; A61P  35/04
1,2009-137693,2010-280640,06-08-2009,SUBSTANCE FOR PREVENTING COLON CANCER CONTAINING INSOLUBLE DIETARY FIBER OF CEREAL PLANT SEED ORIGIN,KIRIN HOLDINGS CO LTD,Company,Japan,"KANEUCHI OSAMU,
KOMIYAMA HIROSHI",Japan,"A substance which contains an insoluble dietary fiber of seed origin of a cereal plant for manufacturing food, drinks or medicine for preventing colon cancer",The extract is obtained by processing the seeds or sprouts of a cereal plant with an enzyme,"Rice bran, wheat germ, or barley malt",Colon cancer,Y,25.9.2012,16.12.2010,A61K  36/899; A61P  35/00; A61K  36/00; A23L   1/30; A23L   2/52
2,2009-141633,2010-270098,25-05-2009,ANTI-INFLUENZA VIRUS MATERIAL DERIVED FROM PLANT OF POLYGONACEAE AND APPLICATION THEREOF,PREV PHARMA:KK,Company,Japan,"YAMAKI MITSUO,
IIMURA AKIKO,
SHIMIZU KAZUFUMI,
FUNAYAMA SHINJI",Japan,"Plant extract for use in safe pharmaceutical compositions, health care supplements, medical spirits, or public health compositions having a high inhibiting effect on influenza virus infection",Composed of active ingredients from herbal plant extracts,"Muehlenbeckia hastulata, Persicaria hydropiper L",Influenza,Y,28.8.2012,2.12.2010,A61K  36/70; A61P  31/16; A61K  31/409; A61K  31/122; A23L   1/30; C12G   3/04
3,2009-111783,2010-260804,05-01-2009,ANTIMICROBIAL HYDROGEL COMPOSITION COMPRISING PLANT EXTRACT ESSENCE,"JAPAN ATOMIC ENERGY AGENCY;
BIO SHIELD SCIENCE:KK",Research Organisation,Japan,"YOSHII FUMIO,
KASAI NOBORU,
SATO TOSHIYUKI",Japan,The invention consists of an antimicrobial agent capable of expressing bactericidal effects against mold and influenza viruses,The hydrogel is prepared by radiation crosslinking with plant extracts incorporated therein,Phyllostachys heterocycla,Bactericidal effect against mold and influenza viruses,Y,24.7.2012,18.11.2010,A01N  25/04; A61L   9/01; A01N  37/02; A01N  65/00; A01P   3/00; A01N  65/44
4,2010-108733,2010-254695,25-03-2010,"LIQUID FOR RECOVERY FROM DISEASES OF HUMAN BEINGS, ALL ANIMALS SUCH AS DOGS AND CATS, ALL LIVESTOCK ANIMALS, ALL USEFUL INSECTS SUCH AS HONEY BEES, ALL BIRDS, ALL TREES AND ALL PLANTS",KANAMARU YASUO,Individual,Japan,KANAMARU YASUO,Japan,A medicinal application that can be taken out or processed in the form of powder or liquid for treating diseases,Incorporated with a variety of plant extracts,"Bamboo, rice, malt",Diseased areas of the body,N,25.6.2013,11.11.2010,A61K  36/00; A61K  31/19; A01G  13/00; A01M  29/00; A61K  31/045; A61K  36/06; A61P  25/00; A61P  17/00; A61P  21/00; A61P  31/00; A01N  65/00 ; A01N  65/44; A01P   3/00
5,2010-149763,2010-248227,30-06-2010,IMPROVED EXTRACTION OF PHARMACEUTICALLY ACTIVE COMPONENT FROM PLANT MATERIAL,GW PHARMA LTD,Company,Japan,"WHITTLE BRIAN ANTHONY,
HILL COLIN A,
FLOCKHART IAN R,
DOWNS DAVID VICTOR,
GIBSON PETER,
WHEATLEY GARY WILLIAM",Japan,Preparation method of a botanical drug substance of a given purity comprising cannabinoids obtained by extraction from Cannabis plant for use in pharmaceutical formulations,"Extraction of cannabinoids from plant material comprises a decarboxylation step, an extraction step with liquid carbon dioxide (CO2), and a step to reduce the proportion of non-target materials in the extract",Cannabis plant,-,Y,5.4.2013,4.11.2010,A61K  36/18; A61K  36/00; A61K  31/352; A61K  31/047
6,2010-127566,2010-229144,06-03-2010,METHOD FOR PRODUCING AND USING POLAR LIPID-RICH FRACTION CONTAINING STEARIDONIC ACID AND γ-LINOLENIC ACID DERIVED FROM PLANT SEED AND MICROBE,MARTEK BIOSCIENCES CORP,Company,USA,"KOHN GERHARD,
BANZHAF WULF,
ABRIL JESUS RUBEN",-,"A polar lipid-rich fraction of plant origin effective in treating various ailments and its use in human food applications, animal feeds, pharmaceuticals, and cosmetics","By means of various extraction, separation, synthesis and recovery methods for obtaining the final product","Boraginaceae, Onagraceae, Saxifragaceae, Scrophulariaceae or Cannabaceae family","Inflammatory conditions, autoimmune conditions, women's health conditions and fatty acid imbalances",Y,20.3.2014,14.10.2010,A61K  31/202; A61K   9/107; A61K   9/12; A61K  47/44; A61K  36/18; A61K  36/23; A61K  36/28; A61K  36/48; A61K  36/899; A61K  36/06; A61Q  19/00; A61K   8/99; A61K   8/97; A61K   8/36; A61P   3/02; A61P  29/00; A61P  37/06; A61P  11/00; A61P  11/06; A61P  17/02; A61K   9/06; A61P   7/00; A61P  31/04; A23L   1/30
7,2009-051033,2010-202597,03-04-2009,"COMPOSITION DERIVED FROM PLANT OF GENUS SALACIA, AND METHOD FOR PRODUCING THE SAME COMPOSITION","KINKI UNIV
DIA BETYM:KK",Research Organisation,Japan,"MURAOKA OSAMU,
AKAGI JUNJI,
MIYAKE SOHACHIRO,
MORIKAWA TOSHIO,
YOSHIKAWA MASAYUKI",Japan,A pharmaceutical composition having a high inhibitory activity on maltase comprising plant extracts,The extract can be obtained by including desulfated kotalanol at a high concentration,Salacia sp.,Rising blood Glucose levels,Y,9.5.2016,16.9.2010,A61K  31/381; A61P   3/10; A61K  36/18; A61K  36/00; A61P  43/00; A23L   1/30; A23L   2/52
8,2010-131277,2010-189444,06-08-2010,USE OF EXTRACT OF PLANT LITCHI CHINENSIS SONN,COGNIS FRANCE SAS,Company,France,"PAULY GILLES,
DANOUX LOUIS,
HENRY FLORENCE",France,A product for skincare or haircare usable for cosmetic preparations and pharmaceutical preparations which contains an extract from vegetable litchi's pericarp,"Protective against UV irradiation and other environmental effects, skin aging and inflammation",Litchi chinensis Sonn.,-,Y,-,2.9.2010,A61K  36/18; A61K  36/00; A61K  31/353; A61K   8/97; A61Q  19/00; A61P  17/02; A61P  43/00
9,2008-327514 ,2010-150153,24-12-2008,"BIOLOGICALLY ACTIVE EXTRACT FROM DENDROBIUM PLANT, USE AND PREPARATION METHOD THEREOF",NATIONAL YANG MING UNIV,Research Organisation,Taiwan,WU RONG-TSUN,Taiwan,"Novel compound for treating and/or preventing ophthalmic diseases, especially diseases related to retinal pigment epithelial cells, and a medicinal composition comprising the same",The medicinal composition comprises extracts from a herbal plant Dendrobium,Dendrobium sp.,Ophthalmic diseases,Y,24.8.2012,8.7.2010,C07H  17/07; A61P  27/02; A61P  43/00; A61P   3/10; A61P   9/10; A61P   9/00; A61K  31/7048; A61K  36/18; A61K  36/00
