,PCT filing number,Patent number,PCT filing date ,Title of invention (English),Owners,Individual/ResearchOrganization/Company,Country of Owner,Inventors,Country of Inventor,Invention aspect ,Type of mechanism or work involved,Plant used,Treatment,Commercial status,Grant date,PCT publication date, International Patent Classification 
0,1020080063031.0,1009708260000.0,30-06-2008,Composition comprising mixed herbal extract for preventing and treating vascular disease,Wonkwang University Center for Industry-Academy Cooperation,Research Organisation,South Korea,"LEE,Ho-Sub; KANG,Dae-Gill; LEE,Yun-Jung; KIM,Sung-Yeon; MOON,Mi-Kyoung; LEE,An-Sook; KIM,Eun-Ju",South Korea,A herbal composition having atherosclerosis inhibitory effect for effectively preventing and treating atherosclerosis and having health functional food properties,By implying cell adhesion rate diminished effect upon the target blood vessel using active ingredients present in the extract,"Rhei Rhizoma, Magnoliae Cortex, Moutan Cortex Radicis, Glycyrrhizae radix",Atherosclerosis,Y,2010.07.09,2010.07.16,A61K 36/708; A61K 36/57; A61K 36/65; A61P 9/00
1,1020070099512.0,1009625870000.0,02-10-2007,"A method for fermentation of natural plants and herbal medicines, a fermented product prepared therefrom and a paharmaceutical composition, a cosmetic compositon and a food composition comprising the product","Dongguk University Industry-Academic Cooperation Foundation; LCS Biotech Co., Ltd.",Company,South Korea,"PARK,Chang-Seo; LEE,Eun-Ok; KIM,Jin-Wook; CHO,Seok-Cheol; KOOK,Moo-Chang",South Korea,"An invention comprising a method of fermentation of herbal medicine and natural vegetable material using yeast and lactobacillus, which is excellent in stability and safety for its manufacture as a food/cosmetic product","By various methods of processing such as saccharification using yeast, fermentation using lactic acid bacteria and further obtaining the supernatant from the resultant mixture and performing temperature treatment",-,"Anti-aging, anti-cancer, anti-inflammatory and immunity improving effect",Y,2010.06.03,2010.06.11,C12P 1/04; C12P 1/00
2,1020070118047.0,1009504370000.0,19-11-2007,Herbal composition for the prevention of depilation and improvement of hair growth and method for preparing the same,Genome&Medicine,Company,South Korea,"YOON,KyuHyeong; CHOI,YoungWook; LEEMINWON; PARK,YoungIl; JEONG,JiHoon; LEE,KyoungTae",South Korea,"Herbal medicine composition with no toxicity in the human body or side effects having excellent effect in hair growth and depilation prevention, as well as wool promotion",Variety of herbal plant composition,"Acanthopanax senticosus, pine needle, Rehmanniae Radix crudus and Anemarrhenae Rhizoma",Depilation prevention,Y,2010.03.24,2010.04.02,A61K 36/254; A61K 8/65; A61P 17/14; A61K 8/97
3,1020090103416.0,1009721160000.0,29-10-2009,"Method of producing fermentation of herbal medicine, the fermentation produced thereby, and food comprising the fermentation","Pharvis R&D Korea Co.,Ltd.",Company,South Korea,"CHOI,JOOCHAE; CHOI,JUNHAN; CHOI,SEUNGHAN",South Korea,Invention comprising herbal medicine fermentation product wherein the growth of the pathogenic microorganism and food rancidity is held back upon the addition of the product to food,"By sterilizing the herb medicine compound and cooling, inoculating with fungi and yeast and drying and manufacturing the product","Cereals, pulse crop, algae",-,Y,2010.07.19,2010.07.23,A23L 1/30; A23L 2/38; A23L 33/15
4,1020100019463.0,1009955000000.0,04-03-2010,"Hand-stretched plain noodles, herbal medicine hand-stretched plain noodles and a manufacturing method thereof","Kang Food Co.,Ltd",Company,South Korea,CHOI Woo Gook; KANG Kyung Lim; KIM Myong Kug,South Korea,"Herbal medicinal noodles with good elasticity, no off-flavour and having fatigue recovery effect",Variety of herbal plant composition,"Milk vetch root, Paeonia japonica, Rehmanniae Radix Preparata, Cnidii Rhizoma, Angelica gigas, Cinnamomi Cortex spissus, jujube and glycyrrhizae radix",Fatigue,Y,2010.11.15,2010.11.19,A23L 7/109
5,1020090062369.0,1009716770000.0,09-07-2009,"Method of producing fermentation of herbal medicine, the fermentation produced thereby, and food comprising the fermentation","Pharvis R&D Korea Co.,Ltd.",Company,South Korea,"CHOI,JOOCHAE; CHOI,JUNHAN; CHOI,SEUNGHAN",South Korea,Invention comprising herbal medicine fermentation product wherein the growth of the pathogenic microorganism and food rancidity is held back upon the addition of the product to food,"By sterilizing the herb medicine compound and cooling, inoculating with fungi and yeast and drying and manufacturing the product","Cereals, pulse crop, algae",-,Y,2010.07.15,2010.07.22,A23L 1/30; A23L 1/304; C12R 1/69; A23L 33/15
6,1020090071210.0,1009562780000.0,03-08-2009,Composition comprising an extract of herbal combination thereof for preventing and treating diabetes mellitus,"DAI HAN PHARM. CO., LTD.",Company,South Korea,"LEE,SUNGYOUNG",South Korea,Invention with safe natural plant components having powerful diabetic complication inhibiting activity with properties of preventing glycemic disease,Dosage dependent composition,"Balsam pear, Cordyceps, Lycii Radicis Cortex, Mori Radicis Cortex, Euonymi Lignum Suberalatum, Puerariae Radix, Polygonati Rhizoma, Atractylodis Rhizoma alba, snake's beard, cornus fruit, ginseng",Diabetes mellitus,Y,2010.04.28,2010.05.10,A61K 36/42; A61K 36/068; A61P 3/10; A61K 36/815
7,1020030022179.0,1009670180000.0,09-04-2003,Cosmetic composition comprising a herbal extration,"AE KYUNG INDUSTRIAL CO.,LTD",Company,South Korea,"KONG,WooSik; KANG,EungSoo; KIM,KwanChul; LIM,DongJin",South Korea,"A skin whitening cosmetic composition containing plant extracts which is safe and suppresses tyrosinase activity in the skin, also having a melanogenesis deterrent effect",The herbal extracts are obtained using water or organic solvent,"Menthae Herba, malva sylvestris, Primula Veris, Alchemilla vulgaris, Veronica officinalis, yarrow (Achillea Millefolium), Melissa officinalis ",-,Y,2010.06.22,2010.06.30,A61K 8/97; A61Q 19/02
8,1020080034907.0,1009808190000.0,15-04-2008,The composition comprising complex herbal extract as an active ingredient and the preparation method thereof,"Huons Global Co., Ltd.",Company,South Korea,"Seong-Tae,Yoon; Dae-Hee,Shin; Bang-Hoo,Lim; Yong-Deuk,Min; Jae-Yong,Kim; Chang-Min,Han; Jang-Mi,Choi; Do-Hoon,Kim; Jae-Seok,Choi",South Korea,Herbal composition that can be used as a pharmaceutical composition for prevention and treatment of the obesity related disease or the health functional food,Dosage dependent composition,"Alisma, Rhei Rhizoma, Glycyrrhizae radix, Cinnamomi Cortex spissus, Paeoniae Radix, Moutan Cortex Radicis, Bupleuri Radix, Polyporus umbellatus, Pinelliae Tuber",Obesity,Y,2010.09.01,2010.09.10,A61K 36/884; A61K 36/708; A61P 3/04; A61K 36/9068
9,1020080019707.0,1009505640000.0,03-03-2008,Anti-Cancer Composition Containing an Extract of Chinese Herb as an Effective Ingredient,Dong-A University Research Foundation For Industry-Academy Cooperation,Research Organisation,South Korea,"Lee,Jai Heon",South Korea,Composition for treating cancer having anti-expression effect of the MMP-9 by which the infiltration and transition of the cancer are suppressed,"By using water, lower alcohol or their mixed solvent for extracting the herbal active components","Paeoniae Radix, Angelica gigas, Eucommia ulmoides, Cinnamomi Ramulus, Cassiae Semen, Carthami Flos, Crataegus pinnatifida Bunge, Glycyrrhizae radix, Acanthopanax senticosus, Puerariae Radix, Salviae Radix and Chrysanthemi Flos",Cancer,Y,2010.03.24,2010.04.01,A61K 36/65; A61K 36/232; A61K 36/46; A61P 35/00
