,Owners
0,Herbal spring LLC
2,"Vita Green Health Products Co., Ltd"
8,R. J. Reynolds Tobacco Company 
10,"Himalaya Global Holdings, Ltd"
11,Himalaya Global Holdings Ltd
13,Colgate-Palmolive Company
14,Council of Scientific and Industrial Research
15,"International Patent Holdings, LLC"
18,"Apptec, Inc."
20,Council of Scientific & Industrial Research
21,Council of Scientific & Industrial Research
22,Industrial Technology Research Institute
34,Industrial Technology Research Institute  
35,Korea Atomic Energy Research Institute 
37,Universita' Degli Studi Di 
39, Department of Health and Human Services 
61,"Institut de Recherche pour le Developpement ;
Universite Nationale d'Asuncion  "
62,"Commonwealth Scientific and Industrial Research Organization  
Limagrain Cereales Ingredients "
71,University of Massachusetts 
72,Council of Scientific & Industrial Research
104,"Soma; Gen-Ichiro;
BioMedical Research Group Inc. "
112,  Laboratorio Catarinense S/A
113,"  Commonwealth Scientific and Industrial Organisation ;
Limagrain Cereales Ingredients SA "
118,  Academia Sinica  
121,  National Yang-Ming University
131,  Inter American University of Puerto Rico
143,"  National Institute of Pharmaceutical R&D Co., Ltd. "
145,  Kaohsiung Medical University
146,SRM University
152,Yale University
166,Delhi Institute of Pharmaceuticals and Research
185,"National Taiwan University,Taipei Medical University"
187,Korea Research Institute of Bioscience and Biotechnology
195,Korea Institute of Science and Technology
207, SRM University
218, Council of Scientific & Industrial Research
238,"Kitasato Daiichi Sankyo Vaccine Co., Ltd. 
National Institute of Advanced Industrial Science and Technology "
242,CSIR 
243,Institut de Recherche Pour le Development
246,Centre National de la Recherche Scientifique
251,"South African Medical Research Council 
University of Cape Town "
256,University of Alabama
271,University of Southern California 
273,USTAV Experimentalni Botaniky Akademie Ved Ceske Republiky 
278, Bangor University
284,Council of Scientific & Industrial Research
293,"Commonwealth Scientific and Industrial Research Organisation 
"
305,"National Brain Research Centre; 
Indian Institute of Science, Molecular Biophysics Unit; 
University of Delhi, Department of Chemistry;"
310,"Korea Research Institute of Bioscience and Biotechnology 
"
313,"Uniao Brasiliense de Educacao e Cultura--UBEC;
Empresa Brasileira de Pesquisa Agropercuaria--EMBRAPA; 
"
319," Hiroshima University;
Altan Co., Ltd. "
324,"Lachifarma S.r.l. Laboratorio Chimico Farmaceutico Salentino 
"
334,"L V M H Recherche 
"
336,"The United States of America, as represented by the Secretary, Department of Health and Human Services 
"
340,"Council of Scientific and Industrial Research 
"
344,"Laboratoires Carilene
"
345,"Florida A & M University 
"
358,Yale University
365,Universiti Putra Malaysia
382,"Sentiss Pharma Private Limited, Delhi Institute of Pharmaceutical Sciences and Research"
383,"Aadvantics Pharmaceuticals, Inc."
397,Korea Institute of Oriental Medicine
400,Korea Research Institute of Standards and Science
401,Galderma S.A
405, Emory University
408,Julius-Maximilians-Universitat Wurzburg
412,"Human Matrix Sciences, LLC; The Hospital for Sick Children"
413,"University of Maryland, Baltimore"
422,Kansas State University Research Foundation
424,New York University
425,"Consejo Superior de Investigaciones Cientificas; Biosearch, S.A."
427,The State of Oregon Acting by and Through the State Boad of Higher Education on Behalf of Oregon State University
433,LVMH Recherche 
436,Universite Claude Bernard Lyon I; Centre National de la Recherche Scientifique
444,Vitro Bio Sarl
448,LVMH Recherche
451,National Yang-Ming University
453,University of Southern California
464,Nestec S.A.
482,Korean Institute Of Oriental Medicine 
483,National Pingtung University of Science and technology
491,Hong Kong Baptist University 
494,Jiangsu Province Institute of Traditional Chinese Medicine 
496,UMM Al-Qura University 
498,Industrial Technology Research Institute 
504,KING SAUD UNIVERSITY
518,NEW YORK UNIVERSITY
519,National Yang-Ming University
528,Universidad de Chile
537,CSIR 
548,Council of Scientific & Industrial Research
550,Development Center for Biotechnology
552,Academia Sinica
553,"Guerlain;
Universite de Strasbourg;
Centre National de la Recherche Scientifique"
557,Korea Research Organization of Bioscience and Biotechnology 
563,City of Hope
565,"Enovate Biolife Private Limited 
Enovate Life LLC"
569,"Bionovo, INC"
570,"Han Sheng Biotech CO., LTD"
571,"Haan Sheng Biotech CO., LTD"
573,Hong Kong Baptist University
574,Teikoku Seiyaku CO. LTD
575,Pt. Dexa Medica
576,Kaohsiung Medical University
577,Amorepacific Corporaton
578,Opmop LTD
580,"Izun Pharmaceuticals, Inc."
581,Laila Neutaceuticals
582,Development center for Biotechnology
587,KBS Research  LLC
592,Kaohsiung Medical University
593,"The Catholic University Of Korea Industry-Academic Cooperation Foundation, Catholic Univ. Of Korea Songeui Campus"
594,National Yang-Ming University 
595,"Arizona Board Of Regents, A Body Corporate Of The State Of Arizona Acting For And On Behalf Of Arizona State University "
601,"Institut Quimic De Sarria Cets, Fundacio Privada ; 
Universitat Ramon Llull, Fundacio Privada"
606,University Of The West Indies
607,"Gw Pharma Limited ;
Otsuka Pharmaceutical Co., Limited"
612,SRM UNIVERSITY
617,NATIONAL TAIWAN NORMAL UNIVERSITY
618,DONG-A UNIVERSITY RESEARCH FOUNDATION FOR INDUSTRY-ACADEMY COOPERATION 
623,"University of Maryland, Baltimore 
Educational & Scientific LLC"
625,  SRM UNIVERSITY 
633,  SRM UNIVERSITY 
635,"    LeafPro, LLC (Wilson, NC)
University of Maryland, College Park (College Park, MD) "
643,  INDUSTRIAL TECHNOLOGY RESEARCH INSTITUTE 
